1,Left piece has major connectivity issues with tje charging dock. Won't connect to the dock on te first try. Needed some squuezing to get it connected. Plus left earpiece has no base and has a dead microphone. Normal sound worked great with left piece and the right piece is working well. You can't expect the highest quality sound with this. But gets the job done. Worth for the price. Recommended to anyone who like to gamble with ears.😅
2,"හොඳ සද්ද ගුණාත්මකභාවයක් තියෙනවා. Bass සහ treble balance හොඳයි. Battery life දිගු, charge එකක් දාලා දිගු වේලාවක් භාවිතා කරන්න පුළුවන්. Bluetooth connect වෙන්නේ ඉක්මනින්. දර්ශනයත් සුපිරි, මිලට වඩා ගුණාත්මකයි."
3,Best product.... Highly recommended.. Package received 2 days... Long battery life...
4,good product recommended 💯
5,good saves 😀😀😀😀😀
6,really very good this product. I am 100% satisfied with this one. good sound quality The rechargeable battery level is ultra level. very very superb product. I highly recommend this one.
7,நம்பி வாங்காதிங்க நண்பர்களே DON'T BUY THIS PRODUCT WORST POOR QUALITY
8,superb
9,supiriyak👍
10,recommend 💜
11,මෙකනම් සුපිරි❤️‍🔥 මට එක දවසින් ආවා 🥰🤑 මේකේ බේස් එකත් සුපිරි ❤️‍🔥😳 බය නැතුව ගන්න පුලුවන්❤️❤️❤️❤️
12,good and value for money.
13,Good Sound quality Received a day after ordering Fast delivery
14,සුපිරිම සුපිරි ....❤️👍👍👍👍 මේ ගානටනම් කිසිම පාඩුවක් නැ ...ඩිලිවරි එකත් සුපිරි....මට ඉක්මනටම ආවා...👍🙂කිසිම බයක් නැතුව ඔයාලටත් ගන්න පුලුවන්.....සුපිරි බැටරි ලයිෆ් එකක් තියනවා...☺️☺️... ඉක්මනටම ගන්න තරමට වාසි .......කිසිම පාඩුවක් නැ.මේකනම් සුපිරීම සුපිරි.....👍👍👍👍☺️☺️☺️☺️☺️
15,Good.
16,"seller Slow response but, Good Earbuds 👍 Thanks"
17,"OMGODDD THIS SOUNDS LIKE SAMSUNG GALAXY EARBUDS AND THE BASS AND THE VOICES ARE VERY CLEAR AND THE SOUNDS QAULITY JUST I LOVE IT , BRUH IT IS THE MOST WORTH THING I GOT FOR THIS KIND OF PRICE , WORTH. IT ♥️♥️💯. I REALLY DO RECOMMEND THIS SELLER HE IS THE DEALER😎"
18,#win good condition
19,super delivery & super quality & working condition better & super seller service & best product Thankyou Daraz By Thushanth
